FILMS:
(500) Days of Summer | (500) Dias com Ela ; 500 Dias com Summer ; 500 días con ella ; 500 dni miłości ; 初恋500天 ; (500) jours ensemble ; 500일의 썸머 ; （500）日のサマー ; (500) días juntos ; Yayın 500 Günü ; 500 giorni insieme ; 仲夏500天 ; 19913 ; 500 days of summer
Real Steel | Real Steel - Stahlharte Gegner ; 鋼鐵擂台 ; Gigantes de acero ; Real Steel - Mein unschlagbarer Freund ; 리얼 스틸 ; Real.Steal ; Pumni de otel ; فولاد واقعی ; 鐵甲鋼拳 ; Gigantes de Aço ; Puro Aço ; Acero Puro ; 39254 ; real steel
Ride Above | Zoe & Sturm ; Mot alle odds ; Zoe i Tempestat ; 894246 ; ride above
Rise of the Guardians | Die Glorreichen Fünf ; 捍衛聯盟 ; 守护者的崛起 ; 守护者 ; 五星大聯盟 ; Rise of The Guardians 3D ; Les Cinq Légendes ; Viis legendi ; De Eventyrlige Vogtere ; Les Réveil Des Gardiens ; Le 5 leggende ; 五星大联盟 ; Երազների Պահապանները ; 81188 ; rise of the guardians
Rise of the Planet of the Apes | Saru no wakusei: Jeneshisu ; El planeta de los simios: Revolución ; Bezdzioniu planetos sukilimas ; 혹성탈출-진화의 시작 ; Sự Nổi Dậy Của Loài Khỉ ; 猿人爭霸戰：猩凶革命 ; Meymunlar Cəhənnəmi: Yüksəliş ; Meymunlar Cəhənnəmi: Başlanğıc ; El planeta de los simios: Evolución ; Planet der Affen 1 - Prevolution ; 61791 ; rise of the planet of the apes
Roofman | Jumtu bandīts ; Un Buen Ladrón ; O Bom Bandido ; Katusekutt ; Nepolapitelný ; Un voleur sur le toit ; Roofman: Un ladrón en el tejado ; 1242419 ; roofman
Save the Last Dance | Save the Last Dance 1 ; Save the Last Dance - Sei einfach du selbst ; Ao Ritmo do Hip-Hop ; 9816 ; save the last dance
Schindler's List | قائمة شندلر ; 舒特拉的名單 ; Lista Shindlera ; シンドラーのリスト ; シンドラーのリスト：1993 ; Η Λίστα του Σίντλερ ; La lista de Schindler ; 辛德勒的名單 ; Շինդլերի Ցուցակը ; רשימת שינדלר ; Schindler's List - La lista di Schindler ; Спіс Шындлера ; A Lista de Schindler ; 424 ; schindlers list
Scream VI | Blackmore ; Scream II ; Scream 6 ; Untitled Scream Sequel ; Frissons VI ; 尖叫6 ; Scream!! ; Tze'aka 6 ; الصرخة 6 ; الصرخة ٦ ; Pânico 6 ; 934433 ; scream vi
Se7en | The Seven Deadly Sins ; Seven ; Sete Pecados Mortais ; 807 ; se7en
Secret of the Wings | Tinker Bell and the Mysterious Winter Woods ; Tinker Bell: A Winter Story ; Trilli e il mistero dell'inverno ; Clochette et le Secret des Fées ; Tinker Bell: Secret of the Wings ; Tinker Bell: O Segredo das Fadas ; Campanilla y el secreto de las hadas ; Tinker Bell - Secret of the Wings - 3D ; TinkerBell - Het Geheim van de Vleugels ; Tinker Bell 4 - Secret of the Wings ; Tingeling - Vingenes hemmelighet ; Tingeling 4 - Vingenes Hemmelighet ; Fée Clochette et le secret des Fées ; Cililing a tajomstvo krídiel ; 05. Тайна зимнего леса ; Sininho - O Segredo das Fadas ; Campanita: El secreto de las hadas ; TinkerBell - Das Geheimnis der Feenflügel ; La Fée Clochette et le Secret des Fées ; 팅커벨 4: 날개의 비밀 ; 奇妙仙子：冬森林的祕密 ; Zvončica i tajna krila ; 75258 ; secret of the wings
Serial Driver | 974561 ; serial driver
Shark Tale | 鯊魚黑幫 ; El espanta tiburones ; Priča o ajkulama ; Istoriya s akuli ; Karchariomáchos ; Pidvodna bratva ; Haaiensnaaier ; Grosse Haie - Kleine Fische ; Köpəkbalığı Hekayəsi ; 鯊膽大話王 ; 鲨鱼故事 ; 10555 ; shark tale
She Rides Shotgun | הנוסעת שליד הנהג ; La place du mort ; Fuga Fatal ; Die Rache der Polly McClusky ; Ο τιμωρός ; Детка на драйве ; 我的殺手爸爸 ; Втікачі ; Ela Vai de Copiloto ; 1196573 ; she rides shotgun
Shrek | Sreka ; Šrek ; Схрек ; 怪物史瑞克 ; シェレック ; Gã Chằn Tinh Tốt Bụng ; 怪物史莱克 ; 史瑞克 ; Shrek - Der tollkühne Held ; ශ්රේක් ; 808 ; shrek
Shrek 2 | 史力加2 ; Šrek 2 ; Shiroq 2 ; 怪物史瑞克2 ; Shrek II ; シェレック２ ; Gã Chằn Tinh Tốt Bụng 2 ; 怪物史莱克2 ; 809 ; shrek 2
Shrek Forever After | Shrek 4 ; Shrek Forever After The Final Chapter ; Shrek: The Final Chapter ; The Final Chapter ; Shrek 4 - Voor eeuwig en altijd: Het laatste hoofdstuk ; Shrek den lykkelige: Sidste kapitel ; Shrek 4: Shrek Forever After ; Shrek 4 - Lykkelig alle sine dager ; Shrek 4 - Forever After ; 史力加4 ; Shrek 4 Felices Para Siempre ; Shrek 4 - Ikuinen Onni ; Shrek 4:  Para siempre ; Shrek Felices Para Siempre (Shrek 4) ; Shrek nüüd ja igavesti ; 슈렉 4 ; Shrek 4 - E vissero felici e contenti ; Shrek e vissero felici e contenti - L'ultimo capitolo ; Shrek 4 - Il était une Fin ; Shrek Forever ; 怪物史瑞克4 ; Shrek 4 Shrek Para Siempre ; Shrek 4 - Für immer Shrek ; Σρεκ 4 ; Gã Chằn Tinh Tốt Bụng: Cuộc Phiêu Lưu Cuối Cùng ; Shrek 4 - Für immer Shrek: Das große Finale ; 史力加萬歲萬萬歲 ; 怪物史莱克4 ; Шрэк 4 ; Shrek Para Sempre O Capítulo Final ; 10192 ; shrek forever after
Shrek the Third | Shrek 3 ; Shrek 3: Shrek the Third ; Shrek 3 - The Third ; 史力加3 ; Shrek 3 - De Derde ; Shrek Kolmas ; Shrek 3 Le Troisième ; Shrek 3 - Shrek Terzo ; Шрэк 3 ; 怪物史瑞克3 ; Shrek 3 Tercero ; Şrek Üç ; Σρεκ 3 ; Shrek Trzeci ; Shrek 3 - Der Dritte ; Gã Chằn Tinh Tốt Bụng 3 ; シュレック3 ; 怪物史莱克3 ; 810 ; shrek the third
Shutter Island | Ilha do Medo ; Zindan Adası ; Đảo Kinh Hoàng ; Suletud saar ; 不赦島 ; Անիծյալների Կղզին ; Востраў праклятых ; A ilha do Medo ; 禁闭岛 ; Злокобен остров ; Островот Шатер ; Остров проклятых ; О́стрів про́клятих ; Το νησί των καταραμένων ; Otok Shutter ; Slēgtā sala ; Kuždesių sala ; Viharsziget ; Wyspa tajemnic ; Insula Shutter ; La isla siniestra ; Suljettu saari ; ჩაკეტილი კუნძული ; Prokletý ostrov ; شٹر آئی لینڈ ; جزيرة شاتر ; جزیره شاتر ; שאטר איילנד ; ഷട്ടർ ഐലൻഡ് ; シャッター アイランド ; 셔터 아일랜드 ; Каргыш аралы ; Laʼnatlanganlar oroli ; शटर आइलैंड ; শাটার আইল্যান্ড ; ಷಟರ್ ಐಲೇಂಡ್ ; 隔離島 ; Prekliaty ostrov ; Zlovešči otok ; เกาะนรกซ่อนทมิฬ ; 11324 ; shutter island
Silence | Milczenie Boga ; Мълчание ; Silencio ; ศรัทธาไม่เงียบ ; Молчание ; 사일런스 ; خاموشی ; 沈黙 -サイレンス- ; Silence - Silencio ; Vaikus ; Vaitiolo ; Լռություն ; Sükut ; 68730 ; silence
Sing | Welcome to the Auditions ; SING / シング ; სიმღერა ; 星夢動物園‬ ; Zapoj ; Sing: Quem Canta Seus Males Espanta ; Canta: 1 ; Sing: ¡Ven y Canta! ; Երգիր ; シング ; Kuyla ; ¡Canta! ; 335797 ; sing
Sing 2 | 씽 2 ; 欢乐好声音2 ; 星夢動物園 2 ; 歡樂好聲音2 ; Cantar! 2 ; Sing 2 - Die Show deines Lebens ; Tous en scène 2 ; ร้องจริง เสียงจริง 2 ; Syng 2 ; SING/シング: ネクストステージ ; სიმღერა 2 ; 씽2게더 ; Laula 2 ; Zapoj 2 ; Canta: 2 ; 438695 ; sing 2
Sinners | 罪孽者 ; Blood & Sinners ; Syntisiä ; خَطّاء ; Մեղավորները ; Нүгэлтнүүд ; よみ:つみびとたち ; Vampires of Sin ; Pecadores ; Günahkârlar ; Грэшнікі ; Hříšníci ; 1233413 ; sinners
Sirāt | Sirat. Trance en el desierto ; Siratas ; 1151272 ; sirāt
Skyfall | James Bond: Sağanak ; Operacija Skyfall ; Координаты «Скайфолл» ; 007 스카이폴 ; Agente 007 - Skyfall ; 007: Operación Skyfall ; 007: Координати «Скайфолл» ; Координати Скайфолл ; พลิกรหัสพิฆาตพยัคฆ์ร้าย 007 ; 007／スカイフォール ; Điệp Viên 007: Tử Địa Skyfall ; 007系列：大破天幕杀机 ; 007：大破天幕杀机 ; James Bond: Égszakadás ; 007: Skyfall ; Égszakadás ; JB 007 - 25 - Skyfall ; 37724 ; skyfall
Snowden | 스노든 ; 斯諾登風暴 ; 斯诺登 ; 302401 ; snowden
Softie | Çıtkırıldım ; Τρυφερούδι ; 揺れるとき ; 소년, 조니 ; Petite nature ; 661925 ; softie
Someone, Somewhere | Deux moi ; (FFF20) ; Someone, Somewhere - Deux moi ; Samotáři v Paříži ; 583268 ; someone somewhere
Sonic the Hedgehog | Sonik kino ; سونیک جوجه تیغی ; Tipratikan Sonik ; Sonic Le Hérisson ; Sonic. Szybki jak błyskawica ; Sonic 1 ; Sonic the Hedgehog 1 ; 454626 ; sonic the hedgehog
Sonic the Hedgehog 2 | Sonic – O Filme 2 ; Sonic 2 ; 수퍼 소닉 2 ; 刺猬索尼克2 ; Sonic the Movie / Sonic VS Knuckles ; 超音鼠大電影 2 ; Siil Sonic 2 ; סוניק הקיפוד 2 ; סוניק 2: הסרט ; Sonic 2: La Pelicula ; โซนิค เดอะ เฮดจ์ฮ็อก 2 ; Nhím Sonic 2 ; Ježek Sonic 2 ; Соник 2 ; 音速小子2 ; Sonic Le Hérisson 2 ; Sonic 2: Szybki jak błyskawica ; 675353 ; sonic the hedgehog 2
Sonic the Hedgehog 3 | ソニック・ザ・ヘッジホッグ3 ; Sonic 3: O Filme ; Соник 3 ; Sonic × Shadow TOKYO MISSION ; סוניק 3 ; ソニック × シャドウ TOKYO MISSION ; 音速小子3 ; Սոնիկ Ոզնին 3 ; Sonic 3 ; 超音鼠大電影3 ; 수퍼 소닉 3 ; 슈퍼 소닉 3 ; Sonic le Hérisson 3 ; سونيك الفيلم ٣ ; Sonic 3: Szybki jak błyskawica ; 939243 ; sonic the hedgehog 3
Soul | Själen ; Sjæl ; Soul: Uma Aventura com Alma ; Jiwa ; Душа ; روح ; 靈魂奇遇記 ; سول مغامرة ذاتية ; Disney and Pixar's Soul ; Жан ; Duša ; Pixar Film Fest: Soul ; Hing ; 心灵奇旅 ; Հոգի ; 508442 ; soul
South Terminal | Déli terminál ; Južni terminal ; Південний термінал ; 592776 ; south terminal
Southpaw | Revancha ; Ο Αριστερόχειρας ; La Rage au ventre ; 震撼擂台 ; 사우스포 ; Redención ; サウスポー：2015 ; 307081 ; southpaw
Speak Out | Cococolin ; 1154312 ; speak out
Spectre | 007 اسپکتر ; Spektras ; 007 스펙터 ; Спектр ; Agente 007 - Spectre ; 007／スペクター ; 007系列：幽灵党 ; 206647 ; spectre
Spellbound | Split ; 스펠바운드 ; Spellbound - Brich den Zauber ; 592983 ; spellbound
Spider-Man | Spajdermen ; Spider-Man: The Motion Picture ; Spaĭdŭr-men ; Lyudyna-pavuk ; 蜘蛛侠1 (托比·马奎尔) ; 스파이더 맨 ; Hämähäkkimies ; ობობა-კაცი ; სპაიდერმენი ; Spider-Man 1 ; Spider-Man I ; スパイダーマン：2002 ; Người Nhện ; Սարդ Մարդը ; ပင့်ကူလူသား ; 557 ; spiderman
Spider-Man 2 | Spajdermen 2 ; Spáinterman 2 ; Spider-Man 2 Lives ; Spider-Man 2: The IMAX Experience ; Spider-Man: No More ; Spider-Man II ; Spider-Man 2 - Spider-Man ist zurück ; Spaĭdŭr-men 2 ; Chelovek-pauk 2 ; Lyudyna-pavuk 2 ; Hämähäkkimies 2 ; ობობა-კაცი 2 ; სპაიდერმენი 2 ; Spider-Man 2.1 ; スパイダーマン2：2004 ; Người Nhện 2 ; Homem Aranha 2 ; 蜘蛛侠2 (托比·马奎尔) ; ပင့်ကူလူသား ၂ ; 558 ; spiderman 2
Spider-Man 3 | Spider-Man 3: The IMAX Experience ; Σπάιντερμαν 3 ; Людина-павук 3. Ворог у відбитті ; Pókember 3 ; スパイダーマン3 ; Hämähäkkimies 3 ; ობობა-კაცი 3 ; სპაიდერმენი 3 ; Người Nhện 3 ; មនុស្សពីងពាង វគ្គ៣ ; Örümcek Adam 3 ; Spider Man III ; 蜘蛛侠3 (托比·马奎尔) ; ပင့်ကူလူသား ၃ ; 559 ; spiderman 3
Spider-Man: Across the Spider-Verse | 스파이더맨: 뉴 유니버스 2 ; Spider-Man: Into the Spider-Verse 2 ; Spider-Man: A través de los Universos (Parte Uno) ; Spider-Man: Across the Spider-Verse (Part One) ; 뉴스파 2 ; スパイダーマン アクロス・ザ・スパイダーバース ; アクロス・ザ・スパイダーバース ; Spider-Man: Across the Universe ; ספיידר-מן 2: ברחבי מימדי העכביש ; 스파이더맨: 어크로스 더 스파이더버스 ; სპაიდერმენი: სამყაროთა შორის ; Человек-паук: Паутина вселенных ; Spajdermen: Putovanje kroz Spajder-svet ; ობობა-კაცი: ობობის სამყაროთა შორის ; სპაიდერმენი: ობობის სამყაროთა შორის ; Spider-Man : Seul contre tous ; Spider-Man: A través del Spider-verso ; Hörümçək Adam: Hörümçək Kainatına Keçiş ; 蜘蛛侠2：纵横宇宙 (迈尔斯·莫拉斯) ; Người Nhện: Du Hành Vũ Trụ Nhện ; 569094 ; spiderman across the spiderverse
Spider-Man: Far From Home | 스파이더맨-파 프롬 홈 ; Người Nhện  Xa Nhà ; 마블 스파이더맨 파 프롬 홈 ; Spider-Man 2: Far from Home ; Spider-Man: Xa Nhà ; ობობა-კაცი: შინიდან შორს ; სპაიდერმენი: შინიდან შორს ; ადამიანი-ობობა: სახლიდან შორს ; სპაიდერმენი: სახლიდან შორს ; ობობა-კაცი: სახლიდან შორს ; Spider-Man  II: Far from Home ; 蜘蛛侠2：英雄远征 (汤姆·赫兰德) ; ספיידר-מן 2: רחוק מהבית ; Սարդ-մարդը. հեռու տանից ; スパイダーマン：ファー・フロム・ホーム：2019 ; Spider-Man: Lejos de casa ; Örümcek-Adam: Evden Uzakta ; 429617 ; spiderman far from home
Spider-Man: Homecoming | 마블 스파이더맨 홈커밍 ; Hombre araña: Regreso a casa ; Spider-Man : Les Retrouvailles ; Spider-Man: Trở Về Nhà ; სპაიდერმენი: შინ დაბრუნება ; ობობა-კაცი: შინ დაბრუნება ; ობობა-კაცი: სახლში დაბრუნება ; სპაიდერმენი: სახლში დაბრუნება ; ადამიანი-ობობა: სახლში დაბრუნება ; 蜘蛛侠1：英雄归来 (汤姆·赫兰德) ; ספיידר-מן 1: השיבה הביתה ; Սարդ-մարդը. տուն վերադարձ ; Өрмекші-адам: Қайта оралу ; Örümcek-Adam: Eve Dönüş ; 315635 ; spiderman homecoming
Spider-Man: Into the Spider-Verse | Animated Spider-Man ; ספיידרמן: מימד העכביש ; Spider Man : nouvelle génération ; سبايدر مان: في عالم العنكبوت ; Een Nieuw Universum ; 뉴스파 ; Pókember: Irány a Pókverzum! ; ობობა-კაცი: ობობის სამყაროში ; სპაიდერმენი: ობობის სამყაროში ; Homem Aranha no Aranhaverso ; Spider-Man Uniwersum ; Spider-Man: New Universe ; Người Nhện: Vũ Trụ Mới ; スパイダーマン：スパイダーバース：2018 ; Spider-Man: Novi svet ; Hörümçək Adam: Hörümçək Kainatında ; 蜘蛛侠1：平行宇宙 (迈尔斯·莫拉斯) ; 324857 ; spiderman into the spiderverse
Spider-Man: No Way Home | 스파이더맨 3 ; مرد عنکبوتی : بدون راه برگشت ; สไปเดอร์-แมน: โน เวย์ โฮม ; Өрмекші-адам: Үйге жол жоқ ; O'rgimchak-odam: Uyga yo'l yo'q ; Spider-Man 3 ; Spider-Man: No Way Home - The More Fun Stuff Version ; Spider-Man: Không Còn Nhà ; ობობა-კაცი: შინისკენ გზა არაა ; სპაიდერმენი: შინისკენ გზა არაა ; ადამიანი-ობობა: სახლისკენ გზა არაა0 ; ობობა-კაცი: სახლისკენ გზა არაა ; სპაიდერმენი: სახლისკენ გზა არაა ; Örümcek-Adam: Eve Dönüş Yok ; ספיידר-מן 3: אין דרך הביתה ; 스파이더맨: 노 웨이 홈 ; Սարդ-Մարդը. Տուն ճանապարհ չկա ; スパイダーマン：ノー・ウェイ・ホーム：2021 ; Spider-Man : No Way Home (version longue) ; Spider-Man 3: No Way Home ; 蜘蛛俠：不戰無歸 ; 蜘蛛侠：英雄无归 ; Spider-man 5 No Way Home ; 634649 ; spiderman no way home
Spirited Away | Sen to Chihiro no Kamikakushi ; Unesenniye prizrakami ; Chihiro ilmmiid gaskkas ; El viatge de Chihiro ; Shahr Ashbah ; 千與千尋 ; Ruhların Qaçışı ; Sen gwa Chihiro ui Haengbang Bulmyeong ; Shahre Ashbah ; The Spiriting Away of Sen and Chihiro ; Vùng đất linh hồn ; המסע המופלא ; 神隐少女 ; Ուրվականներից քշվածները ; Urvakanneric Crvatsnery ; 센과 치히로의 행방불명 ; El viaje de Chihiro ; Miyazaki's Spirited Away ; A Viagem de Chihiro ; Le Voyage de Chihiro ; 129 ; spirited away
Star Wars: The Last Jedi | Звездные войны: Эпизод 8 ; Star Wars: Επεισόδιο 8 ; Ο πόλεμος των άστρων: Επεισόδιο 8 ; Star Wars - Gli ultimi Jedi ; Зоряні війни:  Епізод 8 - Останній Джедай ; Star Wars: Episódio VIII - Os Últimos Jedi ; Razboiul Stelelor: Ultimul Jedi ; Звёздные войны: Эпизод 8 - Последние Джедаи ; Star Wars: Episodio VIII - Gli ultimi Jedi ; Gwiezdne wojny: Ostatni Jedi ; Star Wars: Ultimii Jedi ; Ratovi Zvezde: Epizoda 8 - Poslednji Džedaj ; Tähtien sota: Episodi VIII ; The Last Jedi ; 스타 워즈: 라스트 제다이 ; Star Wars - Episodio VIII - Los últimos Jedi ; Žvaigždžių karai: Epizodas VII – paskutiniai džedajai ; Gwiezdne Wojny: Część VIII - Ostatni Jedi ; Star Wars - Episode VIII - Les Derniers Jedi ; 스타 워즈 에피소드 8 라스트 제다이 ; Star Wars - The Last Jedi - 3D ; La guerra de las galaxias. Episodio VIII. Los últimos Jedi ; Star Wars: Epizoda VIII - Poslední z Jediů ; Star Wars: Episode VIII - Die letzten Jedi ; Star Wars: Episode 8 - The Last Jedi ; La guerra de las galaxias, Episodio 8, Los últimos Jedi ; Star Wars - Episode 8 - Les Derniers Jedi ; Les derniers Jedi ; Star Wars Episode VIII - The Last Jedi ; Звёздные войны: Эпизод VIII - Последние Джедаи ; Star Wars: Episode VIII - The Last Jedi 3D ; Зоряні війни: Останні Джедаї ; Lufta e yjeve: Xhedai i fundit ; Star Wars։ The Last Jedi (Episode VIII) ; Gwiezdne Wojny VIII - Ostatni Jedi ; Star Wars - Episodio 8 - Los últimos Jedi ; 星球大战8：最后的绝地武士 ; 星球大战：最后的绝地武士 ; Star Wars: Οι Τελευταίοι Τζεντάι ; Star Wars: El últims Jedi ; Csillagok Háborúja VIII. - Az Utolsó Jedik ; ვარსკვლავური ომები: ეპიზოდი 8 ; ვარსკვლავური ომები 8 ; ვარსკვლავური ომები: უკანასკნელი ჯედაი (ეპიზოდი VIII) ; ვარსკვლავური ომები: ეპიზოდი VIII ; ვარსკვლავური ომები: ეპიზოდი VIII – უკანასკნელი ჯედაი ; ვარსკვლავური ომები VIII ; סטאר וורס פרק VIII: אחרוני הג'דיי ; Chiến Tranh Giữa Các Vì Sao 8: Jedi Cuối Cùng ; Звёздные войны: Последние джедаи ; 星球大戰：最後絕地武士 ; 星際大戰八部曲：最後的絕地武士 ; TLJ ; 181808 ; star wars the last jedi
Step Up | Vivre pour danser ; Dansez dans les rues ; В ритъма на танца 1 ; Шаг вперед ; Step Up 1 ; Step Up Bailando ; Bailando (Step Up) ; 舞力全開：舞出真我 ; Let's Dance ; 9762 ; step up
Step Up 2: The Streets | Step Up 2 ; Step Up 2 The Streets ; Step Up 2 - La strada per il successo ; Шаг вперед 2: Улицы ; Step Up 2 - The Steets ; Street Dance ; Streetdance - Step Up 2. ; Let's Dance 2 ; В ритъма на танца 2: Улиците ; 스텝업 2 : 더 스트리트 ; Ela Dança Eu Dança 2 ; Step Up II: The Streets (2008) ; ステップ・アップ2 ザ・ストリート ; 舞出真我 2 ; 舞出我人生2：街舞 ; 8328 ; step up 2 the streets
Step Up 3D | Шаг вперед 3D ; Dansul dragostei 3D ; Sexy Dance 3: The Battle 3D ; Step Up 3D: I nea diastasi ; Dansez dans les rues 3 ; Step Up III: 3D (2010) ; Step Up 3 ; 舞力全開3 ; 舞出真我3D ; 舞出我人生3 ; Step Up 3 - Make Your Move ; 41233 ; step up 3d
Step Up Revolution | Шаг вперед 4 ; Ela Dança, Eu Danço 4 ; Ela Dança, Eu Danço IV ; Step Up 4 - Revolution ; Dansez dans les rues 4 ; В ритъма на танца 4: Революция ; Step Up Revolução ; Ритъмът на улицата 4: Революция ; 스텝업4 : 레볼루션 ; Step Up: Miami Heat ; Step Up IV: Revolution (2012) ; ステップ・アップ4 レボリューション ; Step Up 4: Miami Heat ; 舞力全開4 ; 85446 ; step up revolution
Stomp the Yard | Stepping ; Steppin' ; Lökd a ritmust! ; Stomp the Yard 1 ; Baile Urbano 1 ; 1931 ; stomp the yard
Stomp the Yard 2: Homecoming | Stepping 2 - La strada del successo ; Baile Urbano 2 ; 33473 ; stomp the yard 2 homecoming
Sully | Салли ; Hadoson Gawa no Kiseki ; Briinumaina Izglabsanas Hudzona ; Sully: Miracle on the Hudson ; Hazaña en el Hudson ; Miraklet Paa Hudsonfloden ; 363676 ; sully
Superman | Superman: Legacy ; סופרמן: מורשת ; 超人 ; سوبرمان ; စူပါမန်း ; ซูเปอร์แมน ; Genesis ; 슈퍼맨 ; סופרמן ; 1061474 ; superman
Surf's Up | Reyes de las Olas ; Dia de Surf ; Divoké vlny ; Surf's Up: reyes de las olas ; Les rois de la glisse ; 서핑 업 ; Locos por el surf ; 9408 ; surfs up
Surf's Up 2: WaveMania | Surf’s up 2: uniti per vincere ; Reyes de las olas 2 ; Locos por el surf 2: Olamanía ; Surf's Up 2: Galen i vågor ; 서핑업 2: 웨이브 마니아 ; 411840 ; surfs up 2 wavemania
Take Shelter | El Refugio ; 寻求庇护 ; 테이크 쉘터 ; Atormentado ; Укрытие ; O Abrigo ; 64720 ; take shelter
Taken 2 | Taken 2 - La vendetta ; Pagrobimas 2 ; venganza 2 ; Taken 2 (Unrated Cut) ; Taken 2 (2012) ; 96 Sati Istanbul ; Takip 2 ; Venganza 2: Conexión Estambul ; 96時間リベンジ：2012 ; 救參96小時2 ; 飓风营救2 ; Busca Implacável 2 ; 82675 ; taken 2
Taken 3 | 3lrabolva ; Tak3n ; Venganza 3 ; 테이큰3 ; Заручниця 3 ; 96 Sati U bijegu ; 96 Hours Taken 3 - Alles Endet Hier ; V3nganza (Venganza 3) ; 96時間／レクイエム：2014 ; 飓风营救3 ; 救參96小時3 ; Busca Implacável 3 ; 260346 ; taken 3
Tangled | 长发公主 ; 魔髮奇緣 ; Vrlo zapetljana priča ; گیسوکمند ; To på flugt - Et hårrejsende eventyr ; Enredados ; Рапунцель: Запутанная история ; Rapunzel - To På Flugt ; To på flugt ; Rapunzel ; Raiponce ; 라푼젤 ; Kaksin karkuteillä ; Рапунцель: Заплутана історія ; Заплутана історія ; Karmakarışık ; რაპუნცელი: ჩახლართული ისტორია ; Người Đẹp Tóc Mây ; To på rømmen ; Qarmaqarışıq ; සිත්තරාවී ; රපුන්සල් ; 塔の上のラプンツェル ; Sapinušies ; 38757 ; tangled
Taxi Driver | Taksi Şoförü ; Taksikuski ; Taksist ; Taksistas ; Taxisjåføren ; Taksówkarz ; Şoferul de taxi ; Taxikár ; Taksojuht ; 택시 드라이버 ; Таксиста ; Motorista de Táxi ; Шофьор на такси ; 出租车司机(1976) ; Ο ταξιτζής ; タクシードライバー ; 計程車司機 ; Таксист ; Kirakash ; 的士司機 ; El taxista ; 出租车司机 ; Տաքսիստը ; Տաքսու Վարորդը ; Taxi Driver: Motorista de Táxi ; 103 ; taxi driver
Tenet | İnanç ; Verovanje ; Merry-Go-Round ; TENET天能 ; Dalil ; 信条 ; เทเน็ท ; انگاشته ; 577922 ; tenet
Tenor | テノール！ 人生はハーモニー ; 936074 ; tenor
The 5th Wave | The Fifth Wave ; Penktoji banga ; La Cinquième Vague ; Ha'gal ha'khamishi ; 5. fala ; Peti talas ; 5-я волна ; A Quinta Onda ; Quinta Onda ; La 5 eme vague ; La Quinta Ola ; Beshinchi to‘lqin ; Die 5. Welle ; 5th Wave, The ; Пятая волна ; A 5° Onda ; Dot Tân Công Thu 5 ; П'ята хвиля ; 5. Dalga ; 第5毀滅 ; Piata vlna ; Al 5-lea val ; Piąta fala ; 5-oji Banga ; მეხუთე ტალღა ; Το 5ο κύμα ; Το πέμπτο κύμα ; 제5침공 ; 第五天劫 ; 第五波 ; 299687 ; 5th wave
The Amateur | Amateur ; アマチュア ; ร้ายสมัครเล่น ; L'amateur ; 1087891 ; amateur
The Amazing Spider-Man | Жаңа Өрмекші-адам ; Yangi O'rgimchak odam ; Amazing Spider-Man ; გასაოცარი ობობა-კაცი ; საოცარი ადამიანი-ობობა ; საოცარი ობობა-კაცი ; საოცარი სპაიდერმენი ; გასაოცარი სპაიდერმენი ; Amazing Spider-Man 1 ; The Amazing Spider-Man I ; アメイジング・スパイダーマン：2012 ; Người Nhện Siêu Đẳng ; El Sorprendente Hombre Araña ; 超凡蜘蛛侠1 (安德鲁·加菲尔德) ; წარმოუდგენელი ადამიანი-ობობა ; 1930 ; amazing spiderman
The Amazing Spider-Man 2 | Amazing Spider-Man 2 ; The Amazing Spider-Man 2 - Le Destin d'un héros ; Жаңа Өрмекші-адам: Кернеген қуат ; The Amazing Spider-Man 2 - Le Destin d'un Héro ; Yangi O'rgimchak odam 2: Yuqori kuchlanish ; Marvel - The Amazing Spider-Man 2 - Le Destin d'un héros ; The Amazing Spider-Man 2: Rise of Electro ; გასაოცარი სპაიდერმენი 2 ; საოცარი სპაიდერმენი 2 ; საოცარი ობობა-კაცი 2 ; საოცარი ადამიანი-ობობა 2 ; გასაოცარი ობობა-კაცი 2 ; The Amazing Spider-Man - Le Destin d'un héros ; Người Nhện Siêu Đẳng 2 ; The Amazing Spider-Man 2: El poder de Electro ; 超凡蜘蛛侠2 (安德鲁·加菲尔德) ; წარმოუდგენელი ადამიანი-ობობა 2 ; 102382 ; amazing spiderman 2
The Apprentice | 学徒 ; 狂人法則 ; L'apprenti ; 어프렌티스: 트럼프의 탄생 ; The Apprentice: Priča o Trumpu ; 1182047 ; apprentice
The Artist | El artista ; Umelec ; Umjetnik ; Glumac ; Ha'artist ; 아티스트 ; L'artiste ; Beauty Spot ; Nghe si ; 星光夢裏人 ; Sənətçi ; 74643 ; artist
The Asadas! | Asadake ; The Asada Family ; La Famille Asada ; Asadaya ; 浅田家! ; 586393 ; asadas
The Avengers | Avengers Assemble ; Avengers 3D ; The Avengers 3D ; The Avengers: An IMAX 3D Experience ; Marvel's Avengers Assemble ; ดิ อเวนเจอร์ส 1 ; Marvel's The Avengers ; Vengadores ; Os Vingadores ; Marvel: Los Vengadores ; 어벤져스 ; 마블 어벤져스 ; Мститeли ; 复仇者联盟 ; Biệt Đội Siêu Anh Hùng ; Avengers ; gfh ; The Avengers: Os Vingadores ; アベンジャーズ ; Avengers 1 ; The Avengers 1 ; Վրիժառուները ; अवेंजर्स अंगारे बने शोले ; The Avengers: los vengadores de Marvel ; Yenilmezler ; 24428 ; avengers
